Designator,Footprint,Quantity,Value,LCSC Part #
C101,0603,1,10u,
"C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121",0402,20,100n,
"C201, C209, C301, C309",0603,4,1u,
"C202, C203, C204, C205, C206, C207, C208, C212, C302, C303, C304, C305, C306, C307, C308, C312",0402,16,100n,
"C210, C211, C310, C311",0402,4,20p,
J101,TestPoint_Pad_2.0x2.0mm,1,Conn_01x01,
"J104, J105, J202, J203, J302, J303",TestPoint_Pad_1.0x1.0mm,6,Conn_01x01,
"J201, J301",USBC_24P,2,USB_C_Receptacle,C2681555
"R201, R202, R301, R302",0402,4,27.4,
"R203, R204, R303, R304",0402,4,5.1K,
"R205, R207, R305, R307",0402,4,1K,
"R206, R306",0402,2,10K,
"SW101, SW201, SW301",SW_SMD_PUSH,3,SW_Push,C720477
U101,SOT-223-3_TabPin2,1,AMS1117-3.3,C347222
"U102, U103, U105, U107, U109",SSOP-18_4.4x6.5mm_P0.65mm,5,TBD62083AFNG,C163229
"U104, U106, U108, U110",SOP-16_3.9x9.9mm_P1.27mm,4,74HC238,C7432189
"U201, U301",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,2,RP2040,C2040
"U202, U302",SOIC-8_5.3x5.3mm_P1.27mm,2,W25Q128JVS,C97521
"Y201, Y301",Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,2,12MHz_GND24,C9002
